year,model,capacity (kWh),mass (kg),Ta,Tb,Tc,efficiency
2012,BYD e6,61.0,2500.0,263.9128926,6.5074962,0.52662428,0.85
2012,NISSAN NISSAN LEAF UPR,24.0,1704.5454545454545,150.2608716,0.6149285400000001,0.50792756,0.96
2013,Azure Dynamics Transit Connect Electric,28.0,1931.8181818181818,150.4832826,1.23582726,0.69712056,0.67
2013,CODA CODA,31.0,1818.181818181818,174.2812596,2.5363314700000004,0.4429342,0.78
2013,Toyota SCION iQ EV,12.0,1250.0,71.14038246,5.621819997,0.29146851,0.99
2014,HONDA FIT EV,20.0,1647.7272727272725,84.78307319999999,4.0497721,0.33364742,0.99
2014,Tesla Model S P85D,85.0,2386.363636363636,186.4249002,1.38209667,0.41177299999999994,0.92
2014,Toyota RAV4 EV,41.8,1931.8181818181818,143.43730212,2.7199145049999998,0.490966964,0.82
2015,BYD e6,61.0,2500.0,270.28719186,6.587098600000001,0.44426967999999994,0.85
2015,Fiat 500e,22.0,1477.2727272727273,101.2859694,2.9353385,0.33809902,0.96
2016,Bluecar Bluecar,30.0,1534.090909090909,112.2285906,4.324599386,0.47943732,0.78
2016,BMW I3 BEV,18.8,1420.4545454545453,101.864238,3.4428038,0.36191508,0.99
2016,BYD e6,61.0,2500.0,309.03118806,0.69353591,0.62634012,0.99
2016,CHEVROLET SPARK EV,19.0,1420.4545454545453,97.6829112,1.6796106400000002,0.40197948,0.98
2016,Fiat 500e,22.0,1477.2727272727273,110.8051602,2.35324595,0.40420527999999994,0.97
2016,Ford FOCUS,23.0,1761.3636363636363,102.53147100000001,3.6288744100000003,0.42223426,0.94
2016,Kia Soul electric,27.0,1647.7272727272725,101.419416,3.2646934300000003,0.485936656,0.99
2016,Mercedes-Benz B-class electric drive,36.0,1931.8181818181818,141.008574,1.7612031,0.422902,0.81
2016,Mercedes-Benz smart fortwo electric drive (convertible),17.6,1079.5454545454545,146.20854318,-1.6308541699999999,0.636200414,0.99
2016,MITSUBISHI i-MiEV,16.0,1306.8181818181818,86.66911848000001,4.329873045,0.359088314,0.99
2016,NISSAN NISSAN LEAF S,24.0,1647.7272727272725,133.3131534,0.70945639,0.49101148,0.99
2016,NISSAN NISSAN LEAF SL,30.0,1647.7272727272725,131.71179419999999,0.73433214,0.4885631,0.99
2016,NISSAN NISSAN LEAF SV,30.0,1704.5454545454545,133.0907424,0.7562228,0.4885631,0.99
2016,Tesla Model S 60D,60.0,2272.7272727272725,166.22998139999999,1.83284526,0.33565064,0.99
2016,Tesla Model S 60R,60.0,2272.7272727272725,179.485677,1.31741972,0.34655706,0.99
2016,Tesla Model S 70D,70.0,2272.7272727272725,161.1590106,1.89652718,0.38862468,0.96
2016,Tesla Model S 75D,75.0,2272.7272727272725,166.22998139999999,1.83284526,0.33565064,0.99
2016,Tesla Model S 75R,75.0,2272.7272727272725,179.485677,1.31741972,0.34655706,0.99
2016,Tesla Model S 85D,85.0,2272.7272727272725,161.1590106,1.89652718,0.38862468,0.94
2016,Tesla Model S 90D,90.0,2272.7272727272725,174.54815280000003,1.4855797899999998,0.33698612,0.99
2016,Tesla Model S P100D,100.0,2386.363636363636,183.933897,2.6567301000000003,0.3049346,0.99
2016,Tesla Model S P85D,85.0,2386.363636363636,186.4249002,0.25572271,0.43647938,0.93
2016,Tesla Model S P90D,90.0,2386.363636363636,184.6456122,2.21493678,0.31227974000000003,0.99
2016,Tesla Model X 60D,60.0,2500.0,167.6089296,0.48358458,0.47632119999999994,0.99
2016,Tesla Model X 75D,75.0,2500.0,167.6089296,0.48358458,0.47632119999999994,0.99
2016,Tesla Model X 90D,90.0,2500.0,167.6089296,0.48358458,0.47632119999999994,0.99
2016,Tesla Model X P100D,100.0,2727.272727272727,203.32813620000002,-0.55224165,0.4807728,0.98
2016,VOLKSWAGEN e-Golf,24.2,1647.7272727272725,175.0819392,5.05773749,0.278225,0.99
2018,Ford FOCUS,33.5,1818.181818181818,128.4201114,1.89652718,0.44360194,0.99
2018,HYUNDAI IONIQ,28.0,1590.9090909090908,94.16881740000001,1.892149048,0.35083059600000005,0.99
2018,KIA Soul Electric,27.0,1647.7272727272725,98.11883676,2.5634957890000005,0.493415344,0.99
2019,BMW I3s,42.2,1534.090909090909,128.99838,2.9552391,0.3961924,0.99
2019,CHEVROLET BOLT,60.0,1761.3636363636363,126.329448,2.00797054,0.43358584,0.99
2019,HYUNDAI IONIQ,28.0,1590.9090909090908,94.16881740000001,1.892149048,0.35083059600000005,0.99
2019,HYUNDAI Kona Electric,64.0,1818.181818181818,110.57830098000001,-1.9936421080000002,0.526535248,0.99
2019,Jaguar I-PACE,90.0,2272.7272727272725,158.42780352,7.474963869,0.393988858,0.89
2019,Kia Niro Electric,64.0,1931.8181818181818,145.53241374,-1.90150233,0.513558834,0.99
2019,KIA Soul Electric,27.0,1647.7272727272725,98.11883676,2.5634957890000005,0.493415344,0.99
2019,NISSAN LEAF,60.0,1704.5454545454545,115.92061319999999,2.98509,0.43736970000000003,0.99
2019,VOLKSWAGEN e-Golf,35.8,1704.5454545454545,145.901616,3.829571961,0.347180284,0.99
