ONS LA Code,Region/Local Authority,2018 Q3,2018 Q2,2018 Q1,2017 Q4,2017 Q3,2017 Q2,2017 Q1,2016 Q4,2016 Q3,2016 Q2,2016 Q1,2015 Q4,2015 Q3,2015 Q2,2015 Q1,2014 Q4,2014 Q3,2014 Q2,2014 Q1,2013 Q4,2013 Q3,2013 Q2,2013 Q1,2012 Q4,2012 Q3,2012 Q2,2012 Q1,2011 Q4
K02000001,United Kingdom,185470,170576,157377,143730,132314,118708,108417,95641,87110,76772,68008,57028,50452,44361,38823,30870,25750,21021,18690,16962,16039,15457,14638,14101,13332,12856,12309,11999
K03000001,Great Britain,182994,168239,155242,141766,130519,117062,106887,94266,85863,75679,67010,56186,49702,43694,38248,30405,25349,20711,18396,16705,15809,15249,14465,13937,13184,12735,12205,11900
E92000001,England,165386,152493,140387,128837,118250,106469,97217,85762,77987,68938,60804,50793,44598,39338,34389,27314,22539,18281,16311,14848,14022,13434,12815,12297,11773,11283,10904,10782
E12000001,North East,3369,3225,3116,2986,2867,2737,2582,2427,2359,2269,2124,1909,1763,1579,1374,1111,894,695,597,524,537,516,497,474,459,458,415,425
E06000047,   County Durham UA,668,648,616,607,595,601,582,554,545,536,504,456,420,355,294,226,178,122,104,95,87,73,63,58,55,58,55,80
E06000005,   Darlington UA,186,175,161,159,136,126,119,108,86,69,66,56,49,48,41,37,29,26,20,19,19,17,16,11,11,11,10,11
E06000001,   Hartlepool UA,74,71,67,62,55,51,48,40,36,32,26,22,23,19,16,15,14,8,8,7,7,7,8,8,9,9,6,5
E06000002,   Middlesbrough UA,57,57,51,46,44,49,49,46,46,45,47,43,40,34,33,25,25,16,13,13,14,14,8,7,6,5,5,5
E06000057,   Northumberland UA,659,627,607,575,531,487,456,419,388,367,346,307,281,260,224,187,143,103,94,73,106,101,95,95,95,93,94,92
E06000003,   Redcar and Cleveland UA,80,71,69,67,70,51,45,38,36,35,36,35,30,28,20,17,11,8,8,6,5,c,c,c,5,c,c,c
E06000004,   Stockton-on-Tees UA,185,176,175,167,162,142,133,126,130,127,112,96,88,74,64,58,50,46,42,38,36,33,33,34,37,37,35,35
E11000004,   Tyne and Wear (Met County),1449,1389,1359,1292,1263,1219,1139,1085,1080,1047,976,883,821,750,671,535,433,355,297,262,252,256,260,247,230,230,196,183
E08000037,      Gateshead,273,270,263,244,249,243,232,208,208,205,191,175,169,152,144,130,108,103,92,86,88,95,99,93,80,80,71,53
E08000021,      Newcastle upon Tyne,328,307,294,284,266,249,228,216,219,210,190,166,149,146,134,109,94,75,56,47,43,47,40,42,39,34,30,31
E08000022,      North Tyneside,260,240,230,205,203,186,162,156,154,144,134,116,106,96,80,58,43,29,21,15,14,11,12,8,10,11,11,9
E08000023,      South Tyneside,248,249,252,253,241,227,220,215,208,201,184,162,155,149,134,99,79,64,53,38,35,35,34,32,30,28,28,26
E08000024,      Sunderland,340,323,320,306,304,314,297,290,291,287,277,264,242,207,179,139,109,84,75,76,72,68,75,72,71,77,56,64
,Local Authority unknown 3,11,11,11,11,11,11,11,11,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
E12000002,North West,10018,9295,8722,8126,7604,6929,6499,5789,5451,5091,4769,4104,3592,3161,2728,2291,2004,1711,1512,1393,1343,1189,1065,1010,978,918,875,864
E06000008,   Blackburn with Darwen UA,152,139,128,112,103,104,97,84,80,71,60,54,48,46,34,34,28,28,23,22,25,22,17,17,18,20,19,18
E06000009,   Blackpool UA,197,183,182,170,168,162,151,135,123,117,108,93,77,61,42,26,21,23,23,19,22,22,20,18,14,11,10,9
E06000049,   Cheshire East UA,1200,1097,1003,917,851,743,680,613,570,484,418,337,290,256,210,165,148,117,100,95,78,80,67,60,56,48,45,41
E06000050,   Cheshire West and Chester UA,761,699,632,575,540,469,429,385,351,331,296,240,218,184,155,122,106,88,75,68,64,60,51,49,46,42,42,38
