,total plug in,,hybrid,,petrol,,diesel,,,,,,
,2018,2017,2018,2017,2018,2017,2018,2017,,2018,2017,2018 Total,
AUSTRIA,"8,652","7,154","7,513","6,572","184,150","163,701","140,111","175,458",0.025415215,2.54,2.03,"340,426",AUSTRIA
BELGIUM,"13,353","14,459","15,165","12,411","321,822","263,639","195,070","253,322",0.024482499,2.45,2.66,"545,410",BELGIUM
BULGARIA,220,106,"1,600","1,195","18,795","16,262","19,707","19,654",0.005456079,0.55,0.28,"40,322",BULGARIA
CZECH REPUBLIC,981,387,"4,553","2,826","175,276","158,796","78,991","102,641",0.003775967,0.38,0.15,"259,801",CZECH REPUBLIC
DENMARK,"4,679","1,334","8,716","7,104","132,861","135,632","72,236","77,674",0.021414972,2.14,0.6,"218,492",DENMARK
ESTONIA,118,46,"1,566","1,185","18,785","18,596","12,128","11,865",0.003619965,0.36,0.15,"32,597",ESTONIA
FINLAND,"5,708","3,055","11,855","8,514","73,065","70,520","28,710","36,060",0.047830532,4.78,2.59,"119,338",FINLAND
FRANCE,"45,623","36,835","91,815","69,680","1,188,170","1,004,314","844,830","998,116",0.021020181,2.1,1.75,"2,170,438",FRANCE
GERMANY,"67,658","54,617","98,816","55,236","2,142,700","1,986,488","1,111,130","1,336,776",0.019781283,1.98,1.59,"3,420,304",GERMANY
GREECE,315,191,"3,635","2,356","61,320","46,068","36,885","39,014",0.00308355,0.31,0.22,"102,155",GREECE
HUNGARY,"2,070","1,192","5,642","3,539","96,481","74,435","32,334","37,005",0.015161836,1.52,1.03,"136,527",HUNGARY
IRELAND,"1,972",948,"6,927","4,435","48,309","40,289","68,349","85,660",0.015706014,1.57,0.72,"125,557",IRELAND
ITALY,"9,731","4,886","81,892","63,497","678,348","628,458","978,473","1,112,997",0.00556552,0.56,0.27,"1,748,444",ITALY
LATVIA,93,40,672,286,"10,097","9,027","6,632","8,636",0.005316108,0.53,0.22,"17,494",LATVIA
LITHUANIA,143,52,"2,351",715,"22,061","15,994","7,892","9,106",0.004407187,0.44,0.2,"32,447",LITHUANIA
NETHERLANDS,"29,708","11,042","20,505","17,654","334,592","310,876","57,052","72,265",0.067234422,6.72,2.68,"441,857",NETHERLANDS
POLAND,"1,324","1,077","22,821","17,206","368,199","322,920","131,960","135,085",0.002525253,0.25,0.23,"524,304",POLAND
PORTUGAL ,"7,849","4,078","7,230","4,692","89,748","75,962","121,591","135,641",0.034665972,3.47,1.85,"226,418",PORTUGAL 
ROMANIA,605,188,"3,845","2,039","71,880","49,423","53,228","53,755",0.004669723,0.47,0.18,"129,558",ROMANIA
SLOVAKIA,293,209,"2,434","1,936","65,209","57,006","29,432","36,174",0.003009202,0.3,0.22,"97,368",SLOVAKIA
SLOVENIA,663,456,"1,459","1,005","48,204","38,184","22,266","30,865",0.009133238,0.91,0.65,"72,592",SLOVENIA
SPAIN,"11,810","7,448","75,768","55,552","739,527","570,008","473,491","597,006",0.009080452,0.91,0.61,"1,300,596",SPAIN
SWEDEN,"28,332","19,319","20,517","19,458","166,793","149,359","133,911","186,334",0.081052087,8.11,5.16,"349,553",SWEDEN
UNITED KINGDOM,"59,947","49,217","81,323","67,676","1,475,712","1,357,782","750,165","1,065,942",0.025324578,2.53,1.94,"2,367,147",UNITED KINGDOM
NORWAY,"72,689","62,313","16,323","20,500","32,602","39,190","26,253","36,607",0.491583653,49.16,39.29,"147,867",NORWAY
SWITZERLAND,"9,516","8,423","11,267","8,384","188,067","183,339","90,055","113,118",0.031836202,3.2,2.69,"298,905",SWITZERLAND
