Make,Model 1,2018 Q4 UK,2018 Q3 UK,2018 Q2 UK,2018 Q1 UK,2017 Q4 UK,2017 Q3 UK,2017 Q2 UK,2017 Q1 UK,2016 Q4 UK,2016 Q3 UK,2016 Q2 UK,2016 Q1 UK,2015 Q4 UK,2015 Q3 UK,2015 Q2 UK,2015 Q1 UK,2014 Q4 UK,2014 Q3 UK
BMW,I3,3283,2979,2779,2681,2572,2309,2133,1895,1660,1517,1326,1210,1134,1003,905,868,635,459
BMW,I3 RANGE EXTENDER,7668,7315,6864,6586,6423,6056,5464,4903,4198,3700,3131,2855,2440,1940,1579,1318,899,581
BMW,I3S,354,286,152,100,15,,,,,,,,,,,,,
BMW,I3S RANGE EXTENDER,655,412,206,102,14,,,,,,,,,,,,,
JAGUAR,I-PACE EV400 FIRST EDITION,210,74,18,3,,,,,,,,,,,,,,
JAGUAR,I-PACE EV400 HSE,175,64,48,,,,,,,,,,,,,,,
JAGUAR,I-PACE EV400 S,107,24,15,,,,,,,,,,,,,,,
JAGUAR,I-PACE EV400 SE,308,141,14,,,,,,,,,,,,,,,
KIA,SOUL EV AUTO,896,746,625,535,465,377,328,288,245,244,193,170,145,83,53,35,20,
MITSUBISHI,I-MIEV,204,209,216,217,220,222,218,219,221,219,214,220,217,213,213,214,225,228
MITSUBISHI,I-MIEV KEIKO,32,30,31,31,33,33,33,32,33,30,31,31,28,30,32,33,34,34
MITSUBISHI,I-MIEV SUGATA,1,1,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2
MITSUBISHI,I-MIEV TAMASHII,4,4,4,4,4,4,4,4,5,5,5,4,4,5,5,5,5,5
NISSAN,LEAF,1445,1451,1462,1449,1469,1447,1447,1454,1471,1473,1423,1484,1565,1555,1535,1573,1737,1841
NISSAN,LEAF 2.ZERO,945,948,923,735,,,,,,,,,,,,,,
NISSAN,LEAF ACENTA,4868,4763,4594,4365,3936,3756,3676,3827,3977,4096,4146,4312,4436,4285,4165,3766,2915,2434
NISSAN,LEAF ACENTA +,49,51,48,49,52,53,52,51,54,53,52,49,31,,,,,
NISSAN,LEAF ACENTA 24KWH,1114,1114,1117,1138,1153,1102,947,857,669,584,369,284,5,,,,,
NISSAN,LEAF ACENTA 30KWH,2670,2663,2653,2721,2782,2726,2435,2122,1548,1231,785,561,117,,,,,
NISSAN,LEAF ACENTA FLEX,281,284,281,288,285,278,241,272,313,331,347,352,362,363,,,,
NISSAN,LEAF ACENTA FLEX +,,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
NISSAN,LEAF BLACK EDITION,403,395,397,403,407,390,223,79,,,,,,,,,,
NISSAN,LEAF N-CONNECTA,1236,970,653,236,,,,,,,,,,,,,,
NISSAN,LEAF TEKNA,5385,4881,4478,3920,3105,2960,2880,3134,3424,3516,3619,3682,3654,3434,3074,2459,1773,1303
NISSAN,LEAF TEKNA 24KWH,564,560,566,579,588,579,507,462,374,312,143,97,7,,,,,
NISSAN,LEAF TEKNA 30KWH,4955,4962,4940,5002,5105,4938,4280,3514,2103,1656,1135,827,241,,,,,
NISSAN,LEAF TEKNA FLEX,196,195,199,206,206,195,186,208,240,249,258,272,270,272,,,,
NISSAN,LEAF TEKNA FLEX 30KWH,,,,,,,,,,,1,1,1,,,,,
NISSAN,LEAF VISIA,370,364,345,315,293,282,290,299,307,313,317,313,320,323,396,378,349,337
NISSAN,LEAF VISIA +,116,116,115,115,93,77,75,93,113,120,121,126,126,124,140,98,64,34
NISSAN,LEAF VISIA 24KWH,72,77,76,77,78,75,59,58,49,49,42,24,1,,,,,
NISSAN,LEAF VISIA FLEX,58,58,56,60,58,54,45,55,59,62,60,64,63,64,,,,
NISSAN,LEAF VISIA FLEX +,15,15,15,16,13,9,8,15,16,17,18,20,19,20,,,,
RENAULT,ZOE DYN NAV QUICK CHRG ZE 40 A,164,165,147,122,101,72,50,11,,,,,,,,,,
RENAULT,ZOE DYN NAV RAPID CHARGE A,66,69,57,63,71,71,66,65,63,60,51,35,19,,,,,
RENAULT,ZOE DYNAMIQUE INTENS AUTO,1638,1629,1614,1639,1668,1638,1624,1663,1730,1742,1730,1755,1746,1750,1690,1287,1067,582
RENAULT,ZOE DYNAMIQUE NAV AUTO,2277,2190,1933,1990,2271,2473,2508,2501,2469,2325,2014,1610,1060,182,,,,
RENAULT,ZOE DYNAMIQUE NAV ZE 40 AUTO,1769,1400,1147,937,706,599,433,302,79,,,,,,,,,
RENAULT,ZOE DYNAMIQUE ZEN AUTO,252,257,253,248,252,263,253,250,263,260,260,265,272,263,259,257,245,184
